,county,land_area,biome,tc_goal,treecanopy,tc_gap,priority_i,pctpocnorm,pctpovnorm,unemplnorm,dep_perc,depratnorm,health_nor,temp_norm,tes,tesctyscor,rank,rankgrpsz,Mean_Temp,Median_Temp,STD_Temp,Min_Temp,Max_Temp,Mean_Rain,Median_Rain,STD_Rain,Min_Rain,Max_Rain
634,Bexar County,0.3658,Grassland,0.3,0.1556,0.1444,0.731800494898956,0.975193798449612,0.901539556545823,0.463345698639816,0.47906976744186,0.459821428571429,0.551945059424823,0.5621583075826,59,79.0,890,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
635,Bexar County,0.3627,Grassland,0.3,0.2063,0.0937,0.516522866127955,0.892601431980907,0.441465517652047,0.0,0.298329355608592,0.212585034013605,0.723042080829234,0.615640599001664,81,79.0,527,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
636,Bexar County,0.4294,Grassland,0.3,0.2423,0.0577,0.623745528871761,0.952668680765358,0.80891992450145,0.270717340434116,0.417925478348439,0.358996539792387,0.723042080829234,0.604944140717851,86,79.0,432,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
637,Bexar County,0.4447,Grassland,0.3,0.2701,0.0299,0.523017620852457,0.980961923847695,0.434697068031626,0.0,0.290581162324649,0.204802259887006,0.723042080829234,0.59234608985025,93,79.0,358,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
638,Bexar County,0.354,Grassland,0.3,0.2498,0.0502,0.596766187512183,0.973537604456824,0.432694499580227,0.567905456756346,0.296657381615599,0.210891089108911,0.723042080829234,0.601378654623247,88,79.0,414,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
639,Bexar County,0.9048,Grassland,0.3,0.2572,0.0428,0.545923814800599,0.958384332925337,0.518201458177683,0.179965504720407,0.394124847001224,0.325252525252525,0.788007395724968,0.648680770144996,91,79.0,380,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
640,Bexar County,0.9893,Grassland,0.3,0.2359,0.0641,0.624530744088904,0.846089850249584,0.933533930475156,0.192915876027831,0.549916805324459,0.61090573012939,0.788007395724968,0.658426432136915,84,79.0,471,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
641,Bexar County,0.6936,Grassland,0.3,0.2703,0.0297,0.580946687582566,0.936094674556213,0.818774285748031,0.295733678086619,0.311242603550296,0.225945017182131,0.788007395724968,0.626337057285477,93,79.0,358,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
642,Bexar County,0.2413,Grassland,0.3,0.2156,0.0844,0.588660152645023,0.987619047619048,0.788366124893071,0.186160067139696,0.298095238095238,0.212347354138399,0.762232358734742,0.587592108390777,80,79.0,547,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
643,Bexar County,0.3018,Grassland,0.3,0.1911,0.1089,0.610848782179098,1.0,0.647634962632874,0.0,0.563953488372093,0.646666666666667,0.762232358734742,0.64036130259092,74,79.0,665,951,71.28,72.0,1.1691877522451206,69.6,72.2,23.012,22.2,7.944946192391739,12.85,34.98
